category,rating,label,text_
Smartdevices,5,OR,  A really awesome keyboard  i was actually going for the cheap gaming keyboards like the Blaze   but This  it may be a bit costly for most of you all but trust me its worth it  this is the best RGB membrane keyboard ever  It may not be mechanical but do not ever go for the cheap gaming keyboards   this keyboard gives a premium  stealthy look and has alot of game lighting profilesPros  durable  Nice vibrant colors  Nice quality membrane keys   Almost everythingCons   Not many lighting effects   COULD have been a Mechanical keyboard
Smartdevices,4,OR,  I know its costly but its worth your money  Logitech any known branded products LAST LONGer than any random ones   Pros Although its not mechanical  the keys feel very responsive The lights on the keyboard look amazing and CAN be switched off with a hardware button on the keyboard The software perfectly links up with my mouse  which is also Logitech   and feels very seamless Fits great on theAmazonBasics Extended Gaming Mouse PadCons The wrist rest is non removable  which is not a big deal but the material used can will make your wrist sweaty For some reason  the lights on the software keep resetting  noting wrong with the hardware  and always stops when its purple which is funny The media keys do not work with online applications  Like YouTube  Overall  honestly I feel It was worth the full price too  but somehow it was on offer when I was about to order it Thanks Anunay 
Smartdevices,5,OR,  I had been contemplating to buy this for a long time  Went through numerous reviews and compared all other products in similar price range on offer  This was the best amongst all that I could review  It was delivered in excellent condition  well packed and timely delivery  I have been using it for over a month now and all is as expected  The RGB lights are well lit and you can change the zone lighting in   zones  There are     types of pulse settings for the lighting  They keys have a nice tactile feel and are broad and we will placed  Works excellent 
Smartdevices,1,OR,  SO   Very very small keys  For fast typers who use both hands to type at once  you will not be able to use it for typing as most of the times two keys will get pressed  SO A BIG NO FOR TYPING WORK    Very good backlight  Many colors  You can not assign any button any color you want  There are a lot of options you can choose from them    Not very suitable for gaming  Again because of small keys    The handrest is not very useful as it is plastic and will make sweating in no time    cheap built for     keyboard  All plastic      only for RBG lightning  Rest everything sucks with this keyboard 
Smartdevices,2,CG,  Good to use keyboard while it is new  but it is very difficult not possible to clean it thoroughly  After about   months of usage they keys start to get jammed  I guess if I am able to open and clean all keys then the experience may improve  but that is not possible with this keyboard  Better to go for one of cherry mx keyboards  than this one 
Smartdevices,5,OR,  Have always used a Logitech as my keyboard for over    years now and have not looked back since  have used Logitech G    as my entry level gaming keyboard back in      all the way upto G   S for which I added support for my self made train simulation coded in C   back in       also own a wireless Logitech keyboard which I have as a backup and have a multi device Logitech keyboard too which I use for texting on my phone  these keyboards last a good     years that is more than what I require given the fact that I code       hours a day 
Smartdevices,4,OR,  The short review  The Logitech G     membrane  Keyboard looks great  feels good  and has a lot of features in combination that are very hard to find in one keyboard  especially an affordable one  Price  RGB  Media Keys   the G logo to match my mouse were my reasons for buying  I expect they will be yours too  If you want a decent quality  affordable  RGB  Gaming membrane keyboard  compare this one and the Corsair K    Buy one  Push buttons and save up for that high end work horse you really want 
Smartdevices,5,CG,  Pros  cheaper than most other high end keyboard rgb coloring system very eye catching accented keys key press is unique and makes sound when pressed Windows lock button Braided wire ensures rough usageCons  none reallyPlease buy this if you are playing DOTA CS 
Smartdevices,1,CG,  This is a terrible product by Logitech  I am sad that I spent so much money on it and within   months of purchase the pain has started to come off the keycaps A few keys do not work as they used to when the keyboard was new  I have to press some keys twice before it registers the keystroke This is a really terrible product and I would NOT recommend anyone to purchase it 
Smartdevices,5,OR,  Pros    Dedicated media keys and Windows toggle switch are a boon for gaming media consumption and during content creation    Key response times are real quick    Spill resistance is a plus   Function keys are programmable   RGB all the way Cons    Palm rest feels plasticky and not suitable for big hands like myself  it is not removable as well    Mecha membrane keys may disappoint mechanical keyboard enthusiasts    Linux compatibility issues    Key markings get rubbed off within first few weeks of use 
Smartdevices,5,OR,  do not think much just buy it  it is best buy for this price point The best keyboard you can buy at this price  do not go for any cheap mechanical keyboards as they can not provide you the experience Logitech stuff can provide  The RGB Lighting is highly customizable with Logitech Gaming Software and different RGB profiles can be made for different applications Pros     Quality of Logitech G series    Highly customizable RGB Lighting    Highly tactile mecha membrane keys    Additional multimedia keys are available    In game mode  selected keys could be blocked Cons     Made of plastic  Could be more sturdy    The RGB zones could have been more smaller and customizable     Of course  it is not mechanical but I would not consider this as I am not paying for mechanical one My last opinion will be if your budget is limited and then just close your eyes and buy it  If you are new to Logitech G series then you will fall in love with it 
Smartdevices,5,CG,  The best RGB LED keyboard under this price segment  LED sync with G    mouse is very good  Keyboard s button is very tactile and feels great when clicking  Response is very quick  multimedia keys also available which is more helpful for me 
Smartdevices,5,OR,  Update      Nov   AVOID if you are gamer  The keys got stuck and need more pressing power and its irritating while playing FPS games  Go for better MX switch keyboard  I just replaced it with Corsair K   and feels a huge difference OLD Comment The keyboard is good for gaming and it feels like you are using MX buttons but has membrane  Soft touch feels good when press Small buttons but easy to use  Synced with mouse 
Smartdevices,5,OR,  This keyboard is A M A Z I N G   You can download the Logitech app for free and customise your coloursThe feel is just sensationalThe keyboard is really good and has a nice strong cable too which is long enoughThe colours can be set up for different sectors of the keyboardThe best part of it is it is game mode setting which is really helpfulIt also has volume and mute buttons on it and is very stylishbest keyboard I have ever purchased and is awesome for its price
Smartdevices,5,OR,  Your browser does not support HTML  video   This is a stealA brilliant RGB keyboard for BEGINNERS in gaming  I would reccomend this to all who are thi king to buy a gaming keyboard under        with RGBCOMPETITORS   Cosmic byte  my friend owns one but that does not look that nice but is a mechanical one that too under      but i do not think i will reccomend you cosmic byte  HyperX  A brilliant keyboard but sadly only red backlightingPROS   Logitech G hub customization   Brilliant RGB   Mechanical feel   Palm rest   From a well know brandCONS   Not a mechanical oneAfter  hr of useThis is a superb keyboard for BEGINNERSJust  go for it     
Smartdevices,4,CG,  Pros   Feels good to type   Build quality is nice  easy media access keys  Keyboard stand is good  Spill proof aswellCons   RGB not providing      customizations   caps num  indication light is very bright than the other keys which may disturbe at night   it is a fairly big keyboad   Matt finish and can get dirty so easly  
Smartdevices,5,OR,  Your browser does not support HTML  video   I bought this KB for my laptop since i was not happy gaming with the keyboard that came with it  The g    has done a pretty great job so far since I have used it for almost   months now  I specifically wanted a memberane budget keyboard with RGB and this is amazing for my use  As it has been mentioned it is spill proof  I have spilt coffee several times while using and it has not given me any problems since the keycaps are vacuum sealed  Keys can be removed with some effort  This thing is durable enough for the price  If you are looking for a good memberane KB  this is it 
Smartdevices,5,CG,  Logitech s build quality Most responsive membrane keys I have used   Keys are quick and responsive for typing fast as well as gamingSoftware options for function keys   game mode etc  Subtle RGB with   zones   its very practical for gaming   work and zones do not leak to other parts   see picture RGB options in software Media buttons Lights for caps lock   num lock   scroll lock   game mode   see picture Key caps Braided cable 
Smartdevices,5,OR,  Initially got a K    but switched to this  mainly because I am super comfortable with the the key positions on Logitech keyboards  K   has an additional set of keys on the left  which makes intuitive actions like hitting ESC  TAB etc   left most keys  confusing  especially for people who are  used  to a standard keyboard layout Extremely happy with the quality of Logitech G Prodigy G     Lighting matches perfectly with my chassis and mouse  also Prodigy 
Smartdevices,5,OR,  after using it  moths i write this           nice product    build quality is perfect key is awesome     easy to handle         design is also perfect          i experienced the good performance from it     for the budget and entry level this one is perfect compare to other entry level mechanical keyboard      or any brand        so if your budget allow on this price go for it      do not go for the cheap  mechanical because you will get disappointed from those cheap mechanical keyboard    
Smartdevices,5,OR,  It comes with a Braided Cable which is stronger than your non braided cableskeys are actually faster than a normal membrane keyboard and you will feel the difference instantlykey LEDS r bright but brightness cannot be changed from the keyboard itself  you will have to use Logitech Gaming Softwarein the software you can set up macros  and you have a small range of rgb effects which you can customize easilyyou also have Game Mode  Media Keys  and a button for turning LEDs on and offThe build quality is amazing   it looks and feels premiumWrist rest works but is non detachableIt has Anti Ghosting so pressing multiple keys is not an issueOverall Its Worth The Money 
Smartdevices,3,OR,  Working fine till now   rgb is good   keys are responsive Review updated     August     Bought in feb      For the past couple of months  left shift key has started to stuck sometimes while pressing  which significantly hinders gaming performance  Emailed Logitech support  they usually reply back in   weeks and they told me to do some basic troubleshooting methods like cleaning and all  which did not solve the issue obviously 
Smartdevices,5,OR,  This Keyboard is a perfect balance of reliability  and performance It as actuation force of    g and a  mm of travel distance so key press are smooth and instantly registered  it comes handy in CSGo and other esports the RGB is for the keys only and not backlite but it is not a deal breaker with the Ghub software you can control the RGB lighting al though there are only   patterns it does the trick for me       would recommend 
Smartdevices,5,OR,  Your browser does not support HTML  video   RGB is awesome  RGB led is not too much  you will not have any trouble sitting in a dark room watching movie with keyboard lights on  Light shines through the alphabets only so no light spill Keys are good  remember they are rubber dome keys  and they are much better than a normal keyboard  you will feel uncomfortable typing on normal keyboard after using this for a while I do not game a lot      hours a week  but I can assure you that this keyboard is built well  I use them for work a lot  lot more than i do for gaming   those macros can do wonders  I just love the macros 
Smartdevices,5,OR,  PROS     Very comfortable to type and game with  key travel and responses are very good    Good sturdy build    Some youtubers said its quite noisy  but trust me  it is not    The media shortcuts like volume controls  pause and forward buttons work wonders    The lighting according to me is excellent  It is not very flashy and its t dull either    The sweet sounds on the key press  Love it    The palm rest   You can work long hours with this keyboard without getting your hands tired up and aching CONS     The keyboard is a little big than the standard ones    Some people said that it gets worn off after an year of use or so  something to keep in mind that is all i have to say about this keyboard at this point  I would really recommend this product to people who are into typing for long hours or gaming  and have a price constraint of  k bucks 
Smartdevices,5,OR,  Had this keyboard for    days now  and I have to say that I am fairly satisfied  The build quality is pretty sturdy  and the keyboard is pretty satisfying to type and game on  Some things I have noticed   The keys are not quite as soft as your usual membrane laptop keyboard  but not as clicky as a mechanical keyboard either   The wrist rest  while hard  is quite comfortable to use  and I have not had any pain or stiffness in my hand after long hours of use   The lighting is not very bright  and does not have any brightness controls  The only control on the board itself is to turn the lights on or off  and any further customization needs to be done via Logitech s G Hub  Another note is that the colors are not near as vivid as on my G    mouse  but that is quite acceptable given the pricing range   The build is pretty sturdy  with minimal deck flex  The braided cable is also a rather nice touch   My only gripe is that the lock key lights are about twice as bright as the keyboard s own backlighting  which does not make much sense Other than that  there is not much else to say  it is a pretty good board at this price point  and at least presently  I would recommend it  I will update this review in case I notice any issues down the line 
Smartdevices,5,OR,  This is a great keyboard  The keys have the height and travel of the mechanical keyboard  but are super smooth on impact  It kind of gives you best of both sides   mechanical and membrane It has very good RGB lighting under the keys  No light bleed like other cheaper RGB keyboards  Also  the keys are perfectly legible  in white  even when the RGB is turned off I only wish this was a bit cheaper  May be around the      mark  All in all  a great buy 
Smartdevices,5,CG,  Works well with my Mac book pro      You need to change the keyboard configarations and get used to the windows key vs command key The keys are soft and there is almost no noise no matter how you hit hard I am not much into the RGB lighting so customisation of the rgb dosent matter to me  I am using this for programming so no issues with that so far 
Smartdevices,5,CG,  I was in doubt whether to go for a mechanical keyboard or this one  Happy that I made correct decision  RGB colors are pleasant and the Logitech G hub software is very useful  Someone in their review that mentioned that the keys are stiff which made me think a lot before buying  It might be a problem with that particular keyboard  Typing is very comfortable and requires very little force to actuate 
Smartdevices,4,OR,  Awesome product  While buying you should know that it is not mechanical  Keys are very light to touch  Wire is decently long  I do not like the part where you can see the led under the keyboard  It takes away the feel  The hand rest is good but not great and can be a bit uncomfortable at times  Sadly you cannot detach it  Though it depends on person to person  Keys are so light to touch that it is a breeze while typing but can be a bit annoying in games if not used to  I got this product at     k in lighting deal so good deal for me 
Smartdevices,5,CG,  Best keyboard ever it is not a mechanical keyboard but it sure feels like one it is worth the price it is built quality is also awesome and it have a lot of colours and patterns you can choose from it even have      macro keys so you can customise them to what you need the skip track and increase decrease volume button are key and this keyboard has them
Smartdevices,5,OR,  it is a great Membrane keyboard which efficiently mimics the sound effect of a Mechanical keyboard  Media controls  backlit buttons  and customization are great options to have  you will benefit from the Logitech G Hub software if you have a Logitech mouse also  which eliminated the need of having another software in your PC Laptop Palm rest is good but it will take a lot of space on your table  Logitech reliability factors are a huge bonus  so it is unfair to compare this product with other so called cheap Mechanical keyboards  
Smartdevices,4,OR,  The keyboard is a subtle product that reminds you now and then that it has an amazing response time rather wasting around  k inr on wannabe mechanical keyboard go with this keyboard and I assure you that it will not be a let down at all keys are spaced amazingly and happens to have media control buttons as well for quick toggle for mute and unmute and remember that it is a membrane keyboard so do not get ready with your pitchforks out 
Smartdevices,5,OR,  Please see the below pros and cons Pros    Good build quality   Color customizarion is present   Keys can be reprogramme   Key shape and alignments and placement of Multimedia are efficientCons    Haptic feedback is there but not like mechanical keyboards though after some days it will be fun to use 
Smartdevices,4,OR,  Pros    Spill and dust proof    Key press is beautiful and responsive just like mechanical keyboard except noisy sound    Logitech software allow you to map the any key to perform any task    Very good touch for keyboard for the price   Durable cableCons    I would like to map keys for specific software on foreground not just games  I did not find option for it    Light are little dim    Big keyboard    Poor packaging   Amazon Prime this is one you Overall  Value for money keyboard for under  k Suggestion A compact keyboard without numeric keys would be awesome 
Smartdevices,4,OR,  The keyboard is awesome  But i am deducting   star because you can not fix a specified color on keyboard without the logitech software  Your laptop or pc should have the logitech software installed to get that specific color otherwise it always reboots into default mode   The software must give us the option to change the default light mode in next update maybe  And also its a little bit expensive   
Smartdevices,3,OR,  The keyboard itself is fine when used as a normal keyboard but there is no need to pay a premium price for this when we can not control keyboard key brightness Logitech G Hub software is an utter disappointment in its own  It has half baked features and it is unable to consistently sync lights between G    and G     both start with same color and after sometime both will be displaying different colors It is even more frustrating that there is almost no information on internet regarding above mentioned points 
Smartdevices,5,OR,  Your browser does not support HTML  video   this keyboard  at first seemed expensive but once i started using  everything changed  its really good  the RGB lights are nice and bright  i really love how the texture feels  I am sure its going to go away after usage but for now  really enjoying the touch and feel of the entire keyboard 
Smartdevices,5,OR,  Great keyboard for gaming  works well with CS GO  fortnite and pretty much every single game  The      million colors give you tons of options to customize   zones of the keyboard   never spilt water over it however I would not recommend doing that even if it is spill proof   it feels like a mechanical keyboard honestly  totally worth the buck to get on sale for      if higher please go for something else as some good mechanical keyboards are available for            the mecha dome switches by Logitech give you a good typing experience as well  however you can not change or customize the keycaps and remember it has in built media keys which work on everything Spotify  Netflix and even youtube you can sit back and enjoy   it is well illuminated in the dark and in the day it is just visible  only the alphabets have RGB  it does not have a backlight   you get   years warranty on it so that is another plus factor  inclination of   to raise the height it is almost     kgs even though it is made of plastic  it has an anti slip grip and it has minimal deck flex if ur a key smasher overall it is best for all purposes only downside is the wrist rest as it is not detachable however the wrist rest is pretty clean on it  it does take alot of desk space so check the product dimensions before buying it
Smartdevices,5,OR,  I bought this gaming keyboard at       INR you can definitely at a lower price during the sale  I order this product on  th Feb at        INR and it is was going to deliver on   th Feb after two days the price dropped to       INR and I got the product on the   th Feb only  Anyway  this keyboard is amazing it is not mechanical it is a membrane keyboard Now you will ask what is the difference between mechanical and membrane keyboards Mechanical keyboards provide much more direct feedback to the user  While a membrane key cap presses down on a thin membrane layer  to a conductive circuit underneath  a mechanical keyboard has spring loaded switches instead But I like it if the product is good then I do not care if it is mechanical or membrane  It is really good for gaming and daily use  But I do not know why anyone will buy this for daily use 
Smartdevices,5,OR,  Amazing Product from Logitech at       First of all the RGB is really sick with   light effects and also you can adjust the lighting speed  Secondly the Palm Rest which makes this keyboard looks a manly thing  Then the keystrokes are so smooth and the key stroke sounds soothes your ears  I play games on this keyboard e g  Warzone  Apex and some other story games also I use for work  Love this product  Also it has game mode and in keyboard music control keys  Just buy it you will definitely love it 
Smartdevices,5,CG,  I did not go for the mechanical carbon rgb because you can hardly feel any better using that plus it doest have wrist rest media keys and the sick rgb on off switch so this is ideal and more value for money and trust me if you think that will last longer you are right but some more advanced and awesome new trend keyboards will come out and you will upgrade for sure   
Smartdevices,5,OR,  Your browser does not support HTML  video   Reading all the review down below will confuse you definitely      But one thing i can assure this is the best product if you need passthrough light in a keyboard       Customisation you can do is a ton    you have many features      After    days of hard usage i can not even find a small mistake  or glitch aor any allingment issues     In this budget it is damn worth it       You can go for it BLINDly    Detailing in the cable is next level     And very strong braided cable  its like a wollen rope that strong when compared to normal braided cable      I suggest it to people coz i already used reddragon corona lots of bugs   ant e sports rgb keyboard with lots of lightning issues   zebronics transformer dosent have pass through light    But half the price        So i suggest this g    is the best
Smartdevices,3,OR,  after  yr  of use left shift key has become very stiff  it is has become very hard to press  tried cleaning it with no success 
Smartdevices,4,OR,  If you cannot afford a mechanical keyboard this is a good alternative for your gaming setup Except for RGB and Logitech brand name  I did not see a huge difference compared to normal keyboard with big buttons  not sure what its called   non chicket   It does give a premium look to your gaming setup  I trust Logitech  I think it will last for many years 
Smartdevices,3,CG,  The keyboard is good but after more than two months using it I am experiencing the  A  alphabet key glitching out  The key often does not register the keystroke and sometimes registers two impressions with just one keystroke  I have used all sorts of logitech devices  mouse  headphones  etc  none of them have given any issues as of yet but this one is surely glitching out in just two months of using this product 
Smartdevices,4,CG,  This keyboard is excellent in every sense but it will not function until operating system loads Logitech proprietary software which is a bit buggy and heavy needs to run in background for this keyboard to work I do know whether the Linux support exists or not so Linux users please check before buy 
Smartdevices,5,CG,  It is a great keyboard  People want the  Mechanical feel  but this is just a membrane keyboard and it does more than what is required of it  It is a great keyboard for  k and has everything you require of a gaming keyboard  But the lights are a bit dim in daylight and the font is weird but the keyboard is a solid build and works great with its logitech software 
Smartdevices,5,OR,  Considering this keyboard is a membrane keyboard  it still feels great to type on  and I enjoy typing on this keyboard  This is not even close to an actual mechanical keyboard  but if you are somebody who can deal with a membrane keyboard  I would say go for it The lights are great  They are not too bright and obnoxious  rather pleasant  The keyboard has   zone lighting which can be controlled through the G Hub software and has a fair amount of lighting options The extra keys help a ton  after using them  I do not think I will be able to go back to a keyboard without atleast a volume button of some sort Build quality is solid and I am not worried about breaking this thing  the keys are also durable  so far no problems Now the flaw  This keyboard has fixed plastic armrest which cannot be removed whatsoever  It is a single piece  It is not a problem for me personally considering my circumstances  but please take this into consideration before buying the keyboard  The armrest itself takes up around        of the width of the keyboard  around  cm  
